False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,1.9999989
0.0,2.8592668839709498e-05,0.9999989
0.00013902405116085083,2.8592668839709498e-05,0.99999464
0.00013902405116085083,0.00011437067535883799,0.9999931
0.00013902405116085083,0.00017155601303825698,0.99999225
0.00013902405116085083,0.00022874135071767598,0.99998903
0.00013902405116085083,0.000285926688397095,0.99998665
0.00013902405116085083,0.0010007434093898325,0.9999511
0.00013902405116085083,0.0010579287470692514,0.9999505
0.00013902405116085083,0.001315262766626637,0.9999453
0.00013902405116085083,0.0013724481043060558,0.99994385
0.00013902405116085083,0.0021158574941385028,0.9999254
0.00013902405116085083,0.002230228169497341,0.99992514
0.00013902405116085083,0.00228741350717676,0.9999224
0.00013902405116085083,0.0023160061760164694,0.99992216
0.00013902405116085083,0.0023731915136958885,0.9999219
0.00013902405116085083,0.0028020815462915308,0.99991405
0.00027804810232170165,0.0028020815462915308,0.9999136
0.00027804810232170165,0.0031166009035283352,0.9999013
0.00027804810232170165,0.0031737862412077543,0.9999012
0.00027804810232170165,0.003373934923085721,0.9998958
0.00027804810232170165,0.003488305598444559,0.99989426
0.00027804810232170165,0.003602676273803397,0.99988973
0.00027804810232170165,0.0036598616114828157,0.99988854
0.00027804810232170165,0.003717046949162235,0.9998877
0.00027804810232170165,0.003774232286841654,0.9998872
0.00027804810232170165,0.0038600102933607824,0.9998863
0.00027804810232170165,0.003974380968719621,0.9998847
0.00027804810232170165,0.004431863670154973,0.99987555
0.00027804810232170165,0.004489049007834391,0.99987495
0.00027804810232170165,0.004717790358552067,0.9998679
0.00027804810232170165,0.004774975696231486,0.9998671
0.00027804810232170165,0.005175273059987419,0.99986076
0.00027804810232170165,0.005232458397666838,0.9998604
0.00027804810232170165,0.0053182364041859664,0.99985826
0.00027804810232170165,0.005404014410705095,0.9998579
0.00027804810232170165,0.005575570423743352,0.99985397
0.00027804810232170165,0.005632755761422771,0.9998535
0.00027804810232170165,0.005804311774461028,0.99985063
0.00027804810232170165,0.005861497112140447,0.9998504
0.00027804810232170165,0.005918682449819866,0.99985015
0.00027804810232170165,0.006033053125178704,0.99984837
0.00027804810232170165,0.006061645794018414,0.99984777
0.00027804810232170165,0.0061474238005375425,0.99984753
0.00027804810232170165,0.006204609138216961,0.99984634
0.00027804810232170165,0.00626179447589638,0.9998462
0.00027804810232170165,0.006376165151255218,0.9998423
0.00027804810232170165,0.006433350488934638,0.99984217
0.00027804810232170165,0.006662091839652313,0.9998388
0.00027804810232170165,0.006719277177331732,0.9998387
0.00027804810232170165,0.006976611196889118,0.99983406
0.00027804810232170165,0.007090981872247956,0.999833
0.00027804810232170165,0.007262537885286213,0.9998307
0.00027804810232170165,0.007319723222965631,0.9998305
0.00027804810232170165,0.007376908560645051,0.9998301
0.00027804810232170165,0.00743409389832447,0.9998299
0.00027804810232170165,0.0075198719048435985,0.99982905
0.00027804810232170165,0.007577057242523017,0.9998281
0.00027804810232170165,0.00800594727511866,0.99982077
0.00027804810232170165,0.008063132612798079,0.99982005
0.00027804810232170165,0.008148910619317207,0.9998191
0.00027804810232170165,0.008206095956996626,0.99981827
0.00027804810232170165,0.008777949333790816,0.9998062
0.00027804810232170165,0.008863727340309945,0.99980575
0.00027804810232170165,0.008920912677989364,0.9998043
0.00027804810232170165,0.008978098015668783,0.9998035
0.00027804810232170165,0.009264024704065878,0.9997967
0.00027804810232170165,0.009321210041745296,0.99979657
0.00027804810232170165,0.009349802710585007,0.99979645
0.00027804810232170165,0.009406988048264425,0.9997956
0.00027804810232170165,0.009607136730142391,0.99979395
0.00027804810232170165,0.00966432206782181,0.9997937
0.00027804810232170165,0.009978841425058615,0.9997862
0.00027804810232170165,0.010036026762738034,0.9997861
0.00027804810232170165,0.010293360782295419,0.9997818
0.00027804810232170165,0.010350546119974838,0.99978155
0.00027804810232170165,0.010379138788814548,0.9997814
0.0004170721534825525,0.010379138788814548,0.9997812
0.0004170721534825525,0.010550694801852806,0.999778
0.0004170721534825525,0.010607880139532224,0.9997775
0.0004170721534825525,0.01086521415908961,0.99977285
0.0004170721534825525,0.010922399496769028,0.99977225
0.0004170721534825525,0.011008177503288157,0.99977094
0.0004170721534825525,0.011065362840967576,0.9997702
0.0004170721534825525,0.011265511522845542,0.99976605
0.0004170721534825525,0.011322696860524962,0.9997645
0.0004170721534825525,0.01135128952936467,0.99976414
0.0004170721534825525,0.0114370675358838,0.999764
0.0004170721534825525,0.011465660204723508,0.9997639
0.0004170721534825525,0.011522845542402928,0.99976367
0.0004170721534825525,0.012180476925716246,0.99975556
0.0004170721534825525,0.012266254932235375,0.99975544
0.0004170721534825525,0.012323440269914793,0.9997552
0.0004170721534825525,0.012352032938754504,0.99975485
0.0004170721534825525,0.01252358895179276,0.9997534
0.0004170721534825525,0.012752330302510436,0.9997491
0.0004170721534825525,0.012809515640189855,0.999749
0.0004170721534825525,0.012895293646708984,0.9997484
0.0004170721534825525,0.01309544232858695,0.99974376
0.0004170721534825525,0.013152627666266369,0.9997435
