precision,recall
0.5486806187443131,1.0
0.5486735382250043,0.9999714073311603
0.5487079718217048,0.9999714073311603
0.5487424097406367,0.9999714073311603
0.5487768519826138,0.9999714073311603
0.5488112985484503,0.9999714073311603
0.5488457494389605,0.9999714073311603
0.5488802046549587,0.9999714073311603
0.5489146641972595,0.9999714073311603
0.5489491280666782,0.9999714073311603
0.5489835962640295,0.9999714073311603
0.5490180687901289,0.9999714073311603
0.5490525456457918,0.9999714073311603
0.549087026831834,0.9999714073311603
0.5491215123490713,0.9999714073311603
0.5491560021983198,0.9999714073311603
0.5491904963803961,0.9999714073311603
0.5492249948961163,0.9999714073311603
0.5492594977462975,0.9999714073311603
0.5492940049317564,0.9999714073311603
0.5493285164533103,0.9999714073311603
0.5493630323117764,0.9999714073311603
0.5493975525079724,0.9999714073311603
0.549432077042716,0.9999714073311603
0.5494666059168251,0.9999714073311603
0.5495011391311179,0.9999714073311603
0.5495356766864129,0.9999714073311603
0.5495702185835285,0.9999714073311603
0.5496047648232835,0.9999714073311603
0.549639315406497,0.9999714073311603
0.5496738703339882,0.9999714073311603
0.5496667924053816,0.9999428146623206
0.549701351776171,0.9999428146623206
0.5497359154929577,0.9999428146623206
0.5497704835565617,0.9999428146623206
0.5498050559678028,0.9999428146623206
0.5498396327275014,0.9999428146623206
0.5498742138364779,0.9999428146623206
0.5499087992955531,0.9999428146623206
0.5499433891055479,0.9999428146623206
0.5499779832672831,0.9999428146623206
0.5500125817815803,0.9999428146623206
0.5500471846492607,0.9999428146623206
0.5500817918711464,0.9999428146623206
0.5500747149036571,0.9999142219934809
0.5500676377135307,0.9998856293246412
0.5500605603007566,0.9998570366558015
0.5500951721751168,0.9998570366558015
0.550088094638812,0.9998284439869617
0.5500810168798276,0.999799851318122
0.5501156333086858,0.999799851318122
0.5501085554261981,0.9997712586492823
0.5501014773209987,0.9997426659804426
0.5501360983054581,0.9997426659804426
0.5501290200767827,0.9997140733116029
0.5501636455186304,0.9997140733116029
0.5501982753194435,0.9997140733116029
0.550191197066738,0.9996854806427632
0.550225831326818,0.9996854806427632
0.5502604699475913,0.9996854806427632
0.550253391671126,0.9996568879739235
0.5502880347530457,0.9996568879739235
0.5503226821973871,0.9996568879739235
0.5503573340049743,0.9996568879739235
0.5503919901766318,0.9996568879739235
0.5504266507131836,0.9996568879739235
0.5504613156154549,0.9996568879739235
0.5504959848842702,0.9996568879739235
0.5505306585204548,0.9996568879739235
0.5505653365248339,0.9996568879739235
0.5506000188982331,0.9996568879739235
0.550634705641478,0.9996568879739235
0.5506693967553945,0.9996568879739235
0.550704092240809,0.9996568879739235
0.5507387920985476,0.9996568879739235
0.550773496329437,0.9996568879739235
0.5507664193329868,0.9996282953050838
0.5508011280386936,0.9996282953050838
0.5508358411192866,0.9996282953050838
0.5508705585755929,0.9996282953050838
0.5509052804084398,0.9996282953050838
0.5509400066186552,0.9996282953050838
0.5509747372070667,0.9996282953050838
0.5510094721745024,0.9996282953050838
0.5510442115217905,0.9996282953050838
0.5510371351112793,0.9995997026362441
0.5510718789407314,0.9995997026362441
0.551106627151775,0.9995997026362441
0.551141379745239,0.9995997026362441
0.5511761367219524,0.9995997026362441
0.5512108980827447,0.9995997026362441
0.5512456638284453,0.9995997026362441
0.5512804339598839,0.9995997026362441
0.5513152084778906,0.9995997026362441
0.5513499873832954,0.9995997026362441
0.5513847706769289,0.9995997026362441
0.5514195583596214,0.9995997026362441
0.5514124828467326,0.9995711099674044
0.5514472750216894,0.9995711099674044
0.5514401993879547,0.9995425172985647
0.5514749960561602,0.9995425172985647
0.5515097971160824,0.9995425172985647
0.5515446025685525,0.9995425172985647
0.5515794124144024,0.9995425172985647
0.551614226654464,0.9995425172985647
0.5516490452895692,0.9995425172985647
0.5516838683205505,0.9995425172985647
0.5516767931823562,0.999513924629725
0.5517116207130569,0.999513924629725
0.5517464526413813,0.999513924629725
0.5517812889681625,0.999513924629725
0.5518161296942335,0.999513924629725
0.5518509748204278,0.999513924629725
0.5518858243475789,0.999513924629725
0.5519206782765208,0.999513924629725
0.5519555366080874,0.999513924629725
0.551990399343113,0.999513924629725
0.5520252664824319,0.999513924629725
0.5520601380268789,0.999513924629725
0.5520950139772889,0.999513924629725
0.5521298943344969,0.999513924629725
0.5521647790993381,0.999513924629725
0.5521996682726483,0.999513924629725
0.552234561855263,0.999513924629725
0.5522274881516588,0.9994853319608852
0.5522204142245533,0.9994567392920455
0.5522553124259421,0.9994567392920455
0.5522482383796252,0.9994281466232058
0.5522411641097752,0.9993995539543661
0.5522760669310622,0.9993995539543661
0.5522689925420301,0.9993709612855264
0.5523038998799065,0.9993709612855264
0.5523388116308471,0.9993709612855264
0.5523737277956887,0.9993709612855264
0.5524086483752687,0.9993709612855264
0.5524015741809044,0.9993423686166867
0.5524364992808257,0.9993423686166867
0.5524714287972432,0.9993423686166867
0.5525063627309948,0.9993423686166867
0.5525413010829183,0.9993423686166867
0.5525762438538521,0.9993423686166867
0.5526111910446345,0.9993423686166867
0.5526461426561042,0.9993423686166867
0.5526810986891001,0.9993423686166867
0.5527160591444611,0.9993423686166867
0.5527510240230267,0.9993423686166867
0.5527859933256362,0.9993423686166867
0.5528209670531294,0.9993423686166867
0.5528559452063462,0.9993423686166867
0.5528488721566642,0.999313775947847
0.5528838548422818,0.999313775947847
0.5529188419553868,0.999313775947847
0.5529538334968199,0.999313775947847
0.5529888294674219,0.999313775947847
0.5530238298680338,0.999313775947847
0.5530588346994968,0.999313775947847
0.5530938439626523,0.999313775947847
